hero_id,skill_id,name,type,coeff,cd,resource,crowd_control,effect_text
惧留孙,惧留孙_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
惧留孙,惧留孙_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
慈航道人,慈航道人_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
慈航道人,慈航道人_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
慈航道人,慈航道人_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
慈航道人,慈航道人_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
文殊广法天尊,文殊广法天尊_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
文殊广法天尊,文殊广法天尊_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
文殊广法天尊,文殊广法天尊_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；阐教：额外提升全队效果抵抗+5%
文殊广法天尊,文殊广法天尊_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
普贤真人,普贤真人_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
普贤真人,普贤真人_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
普贤真人,普贤真人_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
普贤真人,普贤真人_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
道行天尊,道行天尊_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
道行天尊,道行天尊_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
道行天尊,道行天尊_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；阐教：额外提升全队效果抵抗+5%
道行天尊,道行天尊_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
灵宝大法师,灵宝大法师_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
灵宝大法师,灵宝大法师_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
灵宝大法师,灵宝大法师_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；阐教：额外提升全队效果抵抗+5%
灵宝大法师,灵宝大法师_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
金吒,金吒_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
金吒,金吒_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
金吒,金吒_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞；阐教：额外提升全队效果抵抗+5%
金吒,金吒_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
木吒,木吒_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
木吒,木吒_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
木吒,木吒_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞；阐教：额外提升全队效果抵抗+5%
木吒,木吒_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
南极仙翁,南极仙翁_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
南极仙翁,南极仙翁_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
南极仙翁,南极仙翁_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
南极仙翁,南极仙翁_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
白鹤童子,白鹤童子_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
白鹤童子,白鹤童子_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
白鹤童子,白鹤童子_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
白鹤童子,白鹤童子_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
清虚道德真君,清虚道德真君_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
清虚道德真君,清虚道德真君_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
清虚道德真君,清虚道德真君_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；阐教：额外提升全队效果抵抗+5%
清虚道德真君,清虚道德真君_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
通天教主,通天教主_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
通天教主,通天教主_s2,诛仙剑阵,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
通天教主,通天教主_s3,通天法旨,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
通天教主,通天教主_s4,四剑同归,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
赵公明,赵公明_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
赵公明,赵公明_s2,落宝金钱,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK
赵公明,赵公明_s3,缚龙索,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒；截教：命中目标附加易伤+5%×6秒
赵公明,赵公明_s4,定海神珠,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害
多宝道人,多宝道人_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
多宝道人,多宝道人_s2,摄宝诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
多宝道人,多宝道人_s3,万宝护体,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；截教：命中目标附加易伤+5%×6秒
多宝道人,多宝道人_s4,天宝化形,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
金灵圣母,金灵圣母_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
金灵圣母,金灵圣母_s2,金霞神光,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
金灵圣母,金灵圣母_s3,黄河困阵,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
金灵圣母,金灵圣母_s4,灵旗镇压,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
申公豹,申公豹_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
申公豹,申公豹_s2,搬弄是非,Active,2.4,8,怒30,,瞬移至后排造成260%ATK并标记（受伤+10%×6秒）
申公豹,申公豹_s3,妖风遁形,Active,3.0,12,怒40,,对单体造成320%ATK，若目标带有标记则额外+120%ATK；截教：命中目标附加易伤+5%×6秒
申公豹,申公豹_s4,黑虎掏心,Ultimate,5.0,18,怒80,沉默1.5s,连续3段，共计520%ATK，并对后排施加沉默
无当圣母,无当圣母_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
无当圣母,无当圣母_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
无当圣母,无当圣母_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；截教：命中目标附加易伤+5%×6秒
无当圣母,无当圣母_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
云霄娘娘,云霄娘娘_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
云霄娘娘,云霄娘娘_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
云霄娘娘,云霄娘娘_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
云霄娘娘,云霄娘娘_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
碧霄娘娘,碧霄娘娘_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
碧霄娘娘,碧霄娘娘_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
碧霄娘娘,碧霄娘娘_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
碧霄娘娘,碧霄娘娘_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
琼霄娘娘,琼霄娘娘_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
琼霄娘娘,琼霄娘娘_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
琼霄娘娘,琼霄娘娘_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
琼霄娘娘,琼霄娘娘_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
孔宣,孔宣_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
孔宣,孔宣_s2,五色神光,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK
孔宣,孔宣_s3,摄物夺形,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒；截教：命中目标附加易伤+5%×6秒
孔宣,孔宣_s4,光华无极,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害
石矶娘娘,石矶娘娘_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
石矶娘娘,石矶娘娘_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
石矶娘娘,石矶娘娘_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
石矶娘娘,石矶娘娘_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
吕岳,吕岳_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
吕岳,吕岳_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
吕岳,吕岳_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
吕岳,吕岳_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
余元,余元_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
余元,余元_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
余元,余元_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞；截教：命中目标附加易伤+5%×6秒
余元,余元_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
羽翼仙,羽翼仙_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
羽翼仙,羽翼仙_s2,穿云矢,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK
羽翼仙,羽翼仙_s3,连珠,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒；截教：命中目标附加易伤+5%×6秒
羽翼仙,羽翼仙_s4,万箭归宗,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害
罗宣,罗宣_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
罗宣,罗宣_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
罗宣,罗宣_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
罗宣,罗宣_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
陈九公,陈九公_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
陈九公,陈九公_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
陈九公,陈九公_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞；截教：命中目标附加易伤+5%×6秒
陈九公,陈九公_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
姚少司,姚少司_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
姚少司,姚少司_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
姚少司,姚少司_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；截教：命中目标附加易伤+5%×6秒
姚少司,姚少司_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
法戒,法戒_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
法戒,法戒_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
法戒,法戒_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞；截教：命中目标附加易伤+5%×6秒
法戒,法戒_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
乌云仙,乌云仙_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
乌云仙,乌云仙_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
乌云仙,乌云仙_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；截教：命中目标附加易伤+5%×6秒
乌云仙,乌云仙_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
长耳定光仙,长耳定光仙_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
长耳定光仙,长耳定光仙_s2,穿云矢,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK
长耳定光仙,长耳定光仙_s3,连珠,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒；截教：命中目标附加易伤+5%×6秒
长耳定光仙,长耳定光仙_s4,万箭归宗,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害
姬发,姬发_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
姬发,姬发_s2,王者敕令,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
姬发,姬发_s3,战车冲阵,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
姬发,姬发_s4,周礼威德,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
黄飞虎,黄飞虎_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
黄飞虎,黄飞虎_s2,虎威破阵,Active,2.4,8,怒30,嘲讽2s,对前排造成240%ATK并嘲讽2秒，自身获得等同最大生命12%的护盾；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
黄飞虎,黄飞虎_s3,铁骑横扫,Active,3.0,12,怒40,,为全队施加8%减伤与抵抗+10%，持续6秒
黄飞虎,黄飞虎_s4,不屈之志,Ultimate,5.0,18,怒80,击退1.5s,对全体造成500%ATK并击退，获得30%减伤与嘲讽3秒
李靖,李靖_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
李靖,李靖_s2,破阵弩阵,Active,2.4,8,怒30,,直线穿透，命中目标与其后1名敌人，造成240%ATK；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
李靖,李靖_s3,兵法号令,Active,3.0,12,怒40,,对随机3个目标各造成150%ATK，暴击率+15%×6秒
李靖,李靖_s4,乾坤束缚,Ultimate,5.0,18,怒80,,对全体造成480%ATK，若目标被易伤则额外+15%伤害
雷震子,雷震子_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
雷震子,雷震子_s2,雷霆双翅,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
雷震子,雷震子_s3,霹雳轰鸣,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗
雷震子,雷震子_s4,电掣风行,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
邓婵玉,邓婵玉_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
邓婵玉,邓婵玉_s2,流星飞刀,Active,2.4,8,怒30,,瞬移至后排造成260%ATK并标记（受伤+10%×6秒）；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
邓婵玉,邓婵玉_s3,红纱缚腕,Active,3.0,12,怒40,,对单体造成320%ATK，若目标带有标记则额外+120%ATK
邓婵玉,邓婵玉_s4,影步惊鸿,Ultimate,5.0,18,怒80,沉默1.5s,连续3段，共计520%ATK，并对后排施加沉默
周公旦,周公旦_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
周公旦,周公旦_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
周公旦,周公旦_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
周公旦,周公旦_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
南宫适,南宫适_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
南宫适,南宫适_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
南宫适,南宫适_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
南宫适,南宫适_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
散宜生,散宜生_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
散宜生,散宜生_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
散宜生,散宜生_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
散宜生,散宜生_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
杨任,杨任_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
杨任,杨任_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
杨任,杨任_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗
杨任,杨任_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
土行孙,土行孙_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
土行孙,土行孙_s2,影袭,Active,2.4,8,怒30,,瞬移至后排造成260%ATK并标记（受伤+10%×6秒）；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
土行孙,土行孙_s3,绝杀,Active,3.0,12,怒40,,对单体造成320%ATK，若目标带有标记则额外+120%ATK
土行孙,土行孙_s4,无影连断,Ultimate,5.0,18,怒80,沉默1.5s,连续3段，共计520%ATK，并对后排施加沉默
武吉,武吉_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
武吉,武吉_s2,裂阵斩,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
武吉,武吉_s3,逐日突击,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞
武吉,武吉_s4,天罡终击,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
召公奭,召公奭_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
召公奭,召公奭_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益；周营：自身获得士气+1（可叠3层，攻防+3%/层×6秒）
召公奭,召公奭_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒
召公奭,召公奭_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
毕公高,毕公高_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
